"typ bufora","średni czas procesora","średni czas rzeczywisty","maksymalna porcja","bufor","ilość operacji","typ random"
"4-condition","260 937 477 ","277 862 972 ","10","20","120000","Global"
"3-lock","749 999 980 ","322 192 470 ","10","20","120000","Global"
"4-condition","182 812 482 ","187 018 091 ","6","20","120000","Global"
"3-lock","354 687 487 ","153 411 799 ","6","20","120000","Global"
"4-condition","179 687 479 ","166 418 111 ","5","20","120000","Global"
"3-lock","312 499 977 ","132 271 644 ","5","20","120000","Global"
"4-condition","151 562 477 ","123 635 290 ","4","20","120000","Global"
"3-lock","242 187 486 ","97 431 601 ","4","20","120000","Global"
"4-condition","98 437 478 ","90 067 298 ","3","20","120000","Global"
"3-lock","185 937 479 ","71 942 305 ","3","20","120000","Global"
"4-condition","73 437 483 ","60 220 238 ","2","20","120000","Global"
"3-lock","126 562 483 ","42 556 069 ","2","20","120000","Global"
"4-condition","67 187 487 ","60 673 342 ","2","20","120000","Global"
"3-lock","107 812 488 ","43 722 342 ","2","20","120000","Global"
"4-condition","67 187 478 ","58 357 233 ","2","20","120000","Global"
"3-lock","126 562 482 ","41 847 630 ","2","20","120000","Global"
