"typ bufora","średni czas procesora","średni czas rzeczywisty","maksymalna porcja","bufor","ilość operacji","typ random"
"4-condition","199999984","222886047","50","1000","12000","Global"
"3-lock","324999986","147241087","50","1000","12000","Global"
"4-condition","92187484","103228278","100","1000","12000","Global"
"3-lock","117187477","40076230","100","1000","12000","Global"
"4-condition","370312480","459789484","150","1000","12000","Global"
"3-lock","196874976","96790417","150","1000","12000","Global"
"4-condition","590624982","829040229","200","1000","12000","Global"
"3-lock","342187486","222095910","200","1000","12000","Global"
"4-condition","510937481","710217125","250","1000","12000","Global"
"3-lock","204687489","115630981","250","1000","12000","Global"
"4-condition","603124982","867553906","300","1000","12000","Global"
"3-lock","257812489","173661147","300","1000","12000","Global"
"4-condition","23437488","26350884","350","1000","12000","Global"
"3-lock","49999979","19962339","350","1000","12000","Global"
"4-condition","814062483","1163033179","400","1000","12000","Global"
"3-lock","601562486","428859560","400","1000","12000","Global"
"4-condition","860937483","1204240545","450","1000","12000","Global"
"3-lock","556249981","330767778","450","1000","12000","Global"
"4-condition","935937486","1375610355","500","1000","12000","Global"
"3-lock","495312486","301149800","500","1000","12000","Global"
