"typ bufora","średni czas procesora","średni czas rzeczywisty","maksymalna porcja","bufor","ilość operacji","typ random"
"4-condition","142187486","178294602","50","1000","12000","Thread-Local"
"3-lock","114062485","46877712","50","1000","12000","Thread-Local"
"4-condition","246874983","283511402","100","1000","12000","Thread-Local"
"3-lock","90624984","44933125","100","1000","12000","Thread-Local"
"4-condition","223437487","283442049","150","1000","12000","Thread-Local"
"3-lock","412499984","207571515","150","1000","12000","Thread-Local"
"4-condition","459374986","533732076","200","1000","12000","Thread-Local"
"3-lock","260937486","133852044","200","1000","12000","Thread-Local"
"4-condition","321874989","427815875","250","1000","12000","Thread-Local"
"3-lock","199999986","107656484","250","1000","12000","Thread-Local"
"4-condition","518749993","672484280","300","1000","12000","Thread-Local"
"3-lock","414062487","240019043","300","1000","12000","Thread-Local"
"4-condition","471874986","649535473","350","1000","12000","Thread-Local"
"3-lock","760937476","480198409","350","1000","12000","Thread-Local"
"4-condition","551562486","755553749","400","1000","12000","Thread-Local"
"3-lock","278124981","167047855","400","1000","12000","Thread-Local"
"4-condition","739062495","1115957793","450","1000","12000","Thread-Local"
"3-lock","326562495","193612696","450","1000","12000","Thread-Local"
"4-condition","449999984","638061405","500","1000","12000","Thread-Local"
"3-lock","364062489","214766783","500","1000","12000","Thread-Local"
